profession,title,link,date,location,workload,emp_type,company
data%20scientist,Head of Application Science,https://www.jobs.ch/en/vacancies/detail/95afe401-04e3-4393-8ee1-92d050b21008/,4 weeks ago,Epalinges,80 – 100%,Unlimited employment,ORYL Photonics SA
data%20scientist,Inventory and Sample Coordinator,https://www.jobs.ch/en/vacancies/detail/f93b39d2-a55e-40ba-b222-780a8da06d7d/,3 weeks ago,Arbon,100%,Unlimited employment,Nutreco Switzerland GmbH
data%20scientist,Projektleiter:in Aufbau Geschäftsstelle FaBe PSM,https://www.jobs.ch/en/vacancies/detail/19eb2a5c-f355-4dd7-b0b0-518591277d6a/,Last month,Bern,80 – 100%,Unlimited employment,Lutz & Partner AG Human Resources
data%20scientist,Mitarbeiter/-in Kundensupport Heimtiere (Customer Contact Center) in D/F (w/m/d) 80–100%,https://www.jobs.ch/en/vacancies/detail/b72d714d-ec9e-4d6f-93a2-a3ff27ac3e70/,Last week,Bern,80 – 100%,Unlimited employment,Identitas AG
data%20scientist,Senior Data Scientist,https://www.jobs.ch/en/vacancies/detail/b5f4ec3c-e1a1-47d3-9b75-c32a2f3cbe7e/,2 months ago,Zürich,100%,On AG,Not specified
data%20scientist,Data Scientist (m/w/d),https://www.jobs.ch/en/vacancies/detail/98e38798-f818-411c-850a-85e2fca3caf6/,Yesterday,Basel,80 – 100%,Unlimited employment,Rocken®
data%20scientist,Data Scientist/Analyst Group Internal Audit 100% (f/m/d),https://www.jobs.ch/en/vacancies/detail/36f3f14d-0951-4f86-8baf-bf3173906b57/,2 days ago,Zürich,100%,Bank Julius Bär & Co. AG,Not specified
data%20scientist,Data Analyst,https://www.jobs.ch/en/vacancies/detail/18888e01-1c25-4db5-918d-2c3b77e3f567/,Last quarter,"Warsaw, Masovian Voivodeship, Poland",100%,Unlimited employment,Scandit AG
data%20analyst,Business Analyst - Finance & Accounting (100 %),https://www.jobs.ch/en/vacancies/detail/1de014ff-e4e4-481a-8051-64191c3673d9/,3 days ago,Basel,100%,Unlimited employment,Bank CIC (Schweiz) AG
data%20analyst,Data Analyst (Focus Online-Shops),https://www.jobs.ch/en/vacancies/detail/2a56d90d-aa8a-4e66-9b6a-a56901c79fbf/,Last month,Mägenwil,80 – 100%,Unlimited employment,Brack.Alltron AG
data%20analyst,(Senior) Data Analyst Marketing (m/f/d),https://www.jobs.ch/en/vacancies/detail/aeb1d50a-523d-4413-bc88-b271df9117c9/,Last week,Zürich,80 – 100%,Unlimited employment,Digitec Galaxus AG
data%20analyst,Spezialist Ereignisanalyse und Erfahrungsauswertung 80% - 100% (alle),https://www.jobs.ch/en/vacancies/detail/04c4d29e-3e85-40ab-a240-a554f5bc6956/,2 days ago,Kernkraftwerk Gösgen-Däniken AG,100%,Unlimited employment,Kernkraftwerk Gösgen-Däniken
